MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
CSVM_LK_FF,C-SVM with linear kernel_FF,0.0007,0.9999,0.0231,0.9957,0.0014,0.9978,130,996608,996738,0.9955,10818.091,5335.29,0.005353
CSVM_LK_LassoReg._IC,C-SVM with linear kernel_Lasso Regression_IP,0,0.9996,0,0.3033,0,0.4654,130,996608,996738,0.3033,6876.672,3561.353,0.003573
CSVM_LK_LassoReg._BS,C-SVM with linear kernel_Lasso Regression_BS,0,0.9999,0,0.9998,0,0.9998,130,996608,996738,0.9997,8932.413,4658.634,0.004674
CSVM_LK_LassoReg._FS,C-SVM with linear kernel_Lasso Regression_FS,0.0011,0.9999,0.0385,0.9954,0.0021,0.9976,130,996608,996738,0.9953,8470.834,4335.384,0.00435
CSVM_LK_LassoReg._CC,C-SVM with linear kernel_Lasso Regression_CC,0.0002,0.9999,0.0615,0.953,0.0003,0.9759,130,996608,996738,0.9529,11024.288,5177.987,0.005195
CSVM_LK_LinearReg._IC,C-SVM with linear kernel_Linear Regression_IP,0.9802,1,0.7615,1,0.8571,1,130,996608,996738,1,8743.495,4164.359,0.004178
CSVM_LK_LinearReg._BS,C-SVM with linear kernel_Linear Regression_BS,0,0.9999,0,0.9998,0,0.9998,130,996608,996738,0.9997,9286.017,4563.493,0.004578
CSVM_LK_LinearReg._FS,C-SVM with linear kernel_Linear Regression_FS,0.0011,0.9999,0.0385,0.9954,0.0021,0.9976,130,996608,996738,0.9953,9087.257,4460.498,0.004475
CSVM_LK_LinearReg._CC,C-SVM with linear kernel_Linear Regression_CC,0.0002,0.9999,0.0615,0.953,0.0003,0.9759,130,996608,996738,0.9529,10521.431,5156.631,0.005174
CSVM_LK_RidgeReg._IC,C-SVM with linear kernel_Ridge Regression_IP,0.9802,1,0.7615,1,0.8571,1,130,996608,996738,1,8658.258,4476.927,0.004492
CSVM_LK_RidgeReg._BS,C-SVM with linear kernel_Ridge Regression_BS,0,0.9999,0,0.9998,0,0.9998,130,996608,996738,0.9997,8932.874,4548.683,0.004564
CSVM_LK_RidgeReg._FS,C-SVM with linear kernel_Ridge Regression_FS,0.0011,0.9999,0.0385,0.9954,0.0021,0.9976,130,996608,996738,0.9953,8971.247,4478.883,0.004494
CSVM_LK_RidgeReg._CC,C-SVM with linear kernel_Ridge Regression_CC,0.0002,0.9999,0.0615,0.953,0.0003,0.9759,130,996608,996738,0.9529,10352.023,5073.382,0.00509
CSVM_LK_LogisticReg._IC,C-SVM with linear kernel_Logistic Regression_IP,0.0001,0.999,0.5,0.0642,0.0001,0.1206,130,996608,996738,0.0642,7601.288,4088.157,0.004102
CSVM_LK_LogisticReg._BS,C-SVM with linear kernel_Logistic Regression_BS,0,0.9996,0,0.3191,0,0.4838,130,996608,996738,0.3191,8672.561,4511.575,0.004526
CSVM_LK_LogisticReg._FS,C-SVM with linear kernel_Logistic Regression_FS,0,0.9997,0,0.5207,0,0.6848,130,996608,996738,0.5206,9063.269,4491.537,0.004506
CSVM_LK_LogisticReg._CC,C-SVM with linear kernel_Logistic Regression_CC,0.0002,0.9999,0.0615,0.953,0.0003,0.9759,130,996608,996738,0.9529,10739.822,5065.284,0.005082
LSVM_FF,Linear SVM_FF,0.0235,1,0.6615,0.9964,0.0453,0.9982,130,996608,996738,0.9964,54360.422,16.607,0.000017
LSVM_LassoReg._IC,Linear SVM_Lasso Regression_IP,0,0.9999,0,1,0,0.9999,130,996608,996738,0.9999,14826.71,5.216,0.000005
LSVM_LassoReg._BS,Linear SVM_Lasso Regression_BS,0.0231,0.9999,0.0308,0.9998,0.0264,0.9999,130,996608,996738,0.9997,31005.591,9.96,0.00001
LSVM_LassoReg._FS,Linear SVM_Lasso Regression_FS,0.0284,0.9999,0.0692,0.9997,0.0403,0.9998,130,996608,996738,0.9996,29218.329,11.131,0.000011
LSVM_LassoReg._CC,Linear SVM_Lasso Regression_CC,0.0135,0.9999,0.1462,0.9986,0.0248,0.9992,130,996608,996738,0.9985,42202.941,14.278,0.000014
LSVM_LinearReg._IC,Linear SVM_Linear Regression_IP,1,0.9999,0.0538,1,0.1022,0.9999,130,996608,996738,0.9999,31338.732,10.114,0.00001
LSVM_LinearReg._BS,Linear SVM_Linear Regression_BS,0.0231,0.9999,0.0308,0.9998,0.0264,0.9999,130,996608,996738,0.9997,29997.39,9.77,0.00001
LSVM_LinearReg._FS,Linear SVM_Linear Regression_FS,0.0284,0.9999,0.0692,0.9997,0.0403,0.9998,130,996608,996738,0.9996,29382.512,10.431,0.00001
LSVM_LinearReg._CC,Linear SVM_Linear Regression_CC,0.0135,0.9999,0.1462,0.9986,0.0248,0.9992,130,996608,996738,0.9985,42030.828,14.263,0.000014
LSVM_RidgeReg._IC,Linear SVM_Ridge Regression_IP,1,0.9999,0.0538,1,0.1022,0.9999,130,996608,996738,0.9999,27029.19,10.792,0.000011
LSVM_RidgeReg._BS,Linear SVM_Ridge Regression_BS,0.0231,0.9999,0.0308,0.9998,0.0264,0.9999,130,996608,996738,0.9997,26801.301,9.679,0.00001
LSVM_RidgeReg._FS,Linear SVM_Ridge Regression_FS,0.0284,0.9999,0.0692,0.9997,0.0403,0.9998,130,996608,996738,0.9996,25349.739,11.122,0.000011
LSVM_RidgeReg._CC,Linear SVM_Ridge Regression_CC,0.0135,0.9999,0.1462,0.9986,0.0248,0.9992,130,996608,996738,0.9985,39127.918,15.356,0.000015
LSVM_LogisticReg.IC,Linear SVM_Logistic Regression_IP,0.5882,0.9999,0.0769,1,0.1361,0.9999,130,996608,996738,0.9999,21034.226,5.807,0.000006
LSVM_LogisticReg.BS,Linear SVM_Logistic Regression_BS,0.6842,0.9999,0.1,1,0.1745,0.9999,130,996608,996738,0.9999,26611.418,10.152,0.00001
LSVM_LogisticReg.FS,Linear SVM_Logistic Regression_FS,0.0854,0.9999,0.1308,0.9998,0.1033,0.9999,130,996608,996738,0.9997,27306.678,10.439,0.00001
LSVM_LogisticReg.CC,Linear SVM_Logistic Regression_CC,0.0135,0.9999,0.1462,0.9986,0.0248,0.9992,130,996608,996738,0.9985,37360.022,14.835,0.000015
SGDC_FF,SGDC_FF,0.4615,0.9999,0.0462,1,0.0839,0.9999,130,996608,996738,0.9999,10933.364,13.726,0.000014
SGDC_LassoReg._IC,SGDC_Lasso Regression_IP,0,0.9999,0,1,0,0.9999,130,996608,996738,0.9999,10734.982,4.47,0.000004
SGDC_LassoReg._BS,SGDC_Lasso Regression_BS,0.75,0.9999,0.0231,1,0.0448,0.9999,130,996608,996738,0.9999,4030.492,10.004,0.00001
SGDC_LassoReg._FS,SGDC_Lasso Regression_FS,0.6,0.9999,0.0692,1,0.1241,0.9999,130,996608,996738,0.9999,22245.673,10.109,0.00001
SGDC_LassoReg._CC,SGDC_Lasso Regression_CC,0.36,0.9999,0.0692,1,0.1161,0.9999,130,996608,996738,0.9999,5329.911,14.41,0.000014
SGDC_LinearReg._IC,SGDC_Linear Regression_IP,1,1,0.7154,1,0.8341,1,130,996608,996738,1,1578.277,10.894,0.000011
SGDC_LinearReg._BS,SGDC_Linear Regression_BS,0.75,0.9999,0.0231,1,0.0448,0.9999,130,996608,996738,0.9999,4039.809,10.298,0.00001
SGDC_LinearReg._FS,SGDC_Linear Regression_FS,0.6,0.9999,0.0692,1,0.1241,0.9999,130,996608,996738,0.9999,22643.935,10.742,0.000011
SGDC_LinearReg._CC,SGDC_Linear Regression_CC,0.36,0.9999,0.0692,1,0.1161,0.9999,130,996608,996738,0.9999,5378.816,14.77,0.000015
SGDC_RidgeReg._IC,SGDC_Ridge Regression_IP,1,1,0.7154,1,0.8341,1,130,996608,996738,1,1521.693,10.731,0.000011
SGDC_RidgeReg._BS,SGDC_Ridge Regression_BS,0.75,0.9999,0.0231,1,0.0448,0.9999,130,996608,996738,0.9999,4051.993,13.299,0.000013
SGDC_RidgeReg._FS,SGDC_Ridge Regression_FS,0.6,0.9999,0.0692,1,0.1241,0.9999,130,996608,996738,0.9999,22538.237,10.207,0.00001
SGDC_RidgeReg._CC,SGDC_Ridge Regression_CC,0.36,0.9999,0.0692,1,0.1161,0.9999,130,996608,996738,0.9999,5629.725,14.37,0.000014
SGDC_LogisticReg.IC,SGDC_Logistic Regression_IP,1,0.9999,0.5923,1,0.744,1,130,996608,996738,0.9999,1458.821,7.356,0.000007
SGDC_LogisticReg.BS,SGDC_Logistic Regression_BS,0.0604,0.9999,0.2231,0.9995,0.0951,0.9997,130,996608,996738,0.9994,13238.29,10.317,0.00001
SGDC_LogisticReg.FS,SGDC_Logistic Regression_FS,0.1399,0.9999,0.4692,0.9996,0.2155,0.9998,130,996608,996738,0.9996,13353.124,9.59,0.00001
SGDC_LogisticReg.CC,SGDC_Logistic Regression_CC,0.36,0.9999,0.0692,1,0.1161,0.9999,130,996608,996738,0.9999,5283.142,15.074,0.000015
