MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
CSVM_LK_FF,C-SVM with linear kernel_FF,0.4046,0.5688,0.1539,0.8313,0.223,0.6754,25877,34743,60620,0.5421,1576.068,627.311,0.010348
CSVM_LK_LassoReg._IC,C-SVM with linear kernel_Lasso Regression_IP,0.2622,0.4127,0.3031,0.3647,0.2812,0.3872,25877,34743,60620,0.3384,647.972,284.796,0.004698
CSVM_LK_LassoReg._BS,C-SVM with linear kernel_Lasso Regression_BS,0.5968,0.6323,0.3609,0.8184,0.4498,0.7134,25877,34743,60620,0.6231,543.84,274.028,0.00452
CSVM_LK_LassoReg._FS,C-SVM with linear kernel_Lasso Regression_FS,1,0.6628,0.317,1,0.4814,0.7972,25877,34743,60620,0.7084,609.484,437.195,0.007212
CSVM_LK_LassoReg._CC,C-SVM with linear kernel_Lasso Regression_CC,0.1623,0.3742,0.1631,0.3728,0.1627,0.3735,25877,34743,60620,0.2833,536.222,258.795,0.004269
CSVM_LK_LinearReg._IC,C-SVM with linear kernel_Linear Regression_IP,0.5999,0.8893,0.9083,0.5489,0.7226,0.6788,25877,34743,60620,0.7023,749.255,279.231,0.004606
CSVM_LK_LinearReg._BS,C-SVM with linear kernel_Linear Regression_BS,0.4438,0.6745,0.8908,0.1686,0.5925,0.2698,25877,34743,60620,0.4769,739.752,504.318,0.008319
CSVM_LK_LinearReg._FS,C-SVM with linear kernel_Linear Regression_FS,0.3972,0.5698,0.0942,0.8935,0.1523,0.6958,25877,34743,60620,0.5523,561.741,281.823,0.004649
CSVM_LK_LinearReg._CC,C-SVM with linear kernel_Linear Regression_CC,0.1623,0.3742,0.1631,0.3728,0.1627,0.3735,25877,34743,60620,0.2833,546.756,259.778,0.004285
CSVM_LK_RidgeReg._IC,C-SVM with linear kernel_Ridge Regression_IP,0.5999,0.8893,0.9083,0.5489,0.7226,0.6788,25877,34743,60620,0.7023,715.078,278.774,0.004599
CSVM_LK_RidgeReg._BS,C-SVM with linear kernel_Ridge Regression_BS,0.4438,0.6745,0.8908,0.1686,0.5925,0.2698,25877,34743,60620,0.4769,516.108,270.312,0.004459
CSVM_LK_RidgeReg._FS,C-SVM with linear kernel_Ridge Regression_FS,0.3972,0.5698,0.0942,0.8935,0.1523,0.6958,25877,34743,60620,0.5523,537.576,274.569,0.004529
