MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
CSVM_LK_FF,C-SVM with linear kernel_FF,0.28,0.3319,0.0005,0.9976,0.0009,0.4981,30024,14945,44969,0.3319,1480.917,513.965,0.011429
CSVM_LK_LassoReg._IC,C-SVM with linear kernel_Lasso Regression_IP,1,0.6406,0.7208,1,0.8377,0.7809,30024,14945,44969,0.8136,436.633,207.617,0.004617
CSVM_LK_LassoReg._BS,C-SVM with linear kernel_Lasso Regression_BS,0.9911,0.3424,0.0447,0.9992,0.0855,0.51,30024,14945,44969,0.3619,388.881,211.371,0.0047
CSVM_LK_LassoReg._FS,C-SVM with linear kernel_Lasso Regression_FS,0.9977,0.529,0.558,0.9975,0.7157,0.6914,30024,14945,44969,0.704,402.789,206.711,0.004597
CSVM_LK_LassoReg._CC,C-SVM with linear kernel_Lasso Regression_CC,0.0054,0.3154,0.0002,0.9255,0.0004,0.4705,30024,14945,44969,0.3077,373.37,193.233,0.004297
CSVM_LK_LinearReg._IC,C-SVM with linear kernel_Linear Regression_IP,0.9611,0.6455,0.7431,0.9396,0.8382,0.7653,30024,14945,44969,0.8084,408.201,210.098,0.004672
CSVM_LK_LinearReg._BS,C-SVM with linear kernel_Linear Regression_BS,0.9911,0.3424,0.0447,0.9992,0.0855,0.51,30024,14945,44969,0.3619,386.242,206.556,0.004593
CSVM_LK_LinearReg._FS,C-SVM with linear kernel_Linear Regression_FS,0.9977,0.529,0.558,0.9975,0.7157,0.6914,30024,14945,44969,0.704,411.476,209.785,0.004665
CSVM_LK_LinearReg._CC,C-SVM with linear kernel_Linear Regression_CC,0.0054,0.3154,0.0002,0.9255,0.0004,0.4705,30024,14945,44969,0.3077,377.638,195.171,0.00434
CSVM_LK_RidgeReg._IC,C-SVM with linear kernel_Ridge Regression_IP,0.0421,0.3297,0.0003,0.9878,0.0005,0.4944,30024,14945,44969,0.3285,415.672,213.174,0.00474
CSVM_LK_RidgeReg._BS,C-SVM with linear kernel_Ridge Regression_BS,0.9982,0.5173,0.5363,0.9981,0.6978,0.6814,30024,14945,44969,0.6898,383.222,207.535,0.004615
CSVM_LK_RidgeReg._FS,C-SVM with linear kernel_Ridge Regression_FS,0.9977,0.529,0.558,0.9975,0.7157,0.6914,30024,14945,44969,0.704,728.799,211.307,0.004699
CSVM_LK_RidgeReg._CC,C-SVM with linear kernel_Ridge Regression_CC,0.0054,0.3154,0.0002,0.9255,0.0004,0.4705,30024,14945,44969,0.3077,355.595,190.909,0.004245
CSVM_LK_LogisticReg._IC,C-SVM with linear kernel_Logistic Regression_IP,0.7202,0.3353,0.0571,0.9554,0.1058,0.4964,30024,14945,44969,0.3556,453.951,204.274,0.004543
CSVM_LK_LogisticReg._BS,C-SVM with linear kernel_Logistic Regression_BS,0.9977,0.529,0.558,0.9975,0.7157,0.6914,30024,14945,44969,0.704,384.46,205.122,0.004561
CSVM_LK_LogisticReg._FS,C-SVM with linear kernel_Logistic Regression_FS,0.9927,0.6854,0.7741,0.9886,0.8699,0.8095,30024,14945,44969,0.8454,677.805,362.029,0.008051
CSVM_LK_LogisticReg._CC,C-SVM with linear kernel_Logistic Regression_CC,0.0054,0.3154,0.0002,0.9255,0.0004,0.4705,30024,14945,44969,0.3077,357.485,198.098,0.004405
LSVM_FF,Linear SVM_FF,0.9752,0.6071,0.6892,0.9647,0.8076,0.7452,30024,14945,44969,0.7808,3320.957,3.494,0.000078
LSVM_LassoReg._IC,Linear SVM_Lasso Regression_IP,0.877,0.8613,0.9411,0.7348,0.9079,0.793,30024,14945,44969,0.8725,788.06,0.534,0.000012
LSVM_LassoReg._BS,Linear SVM_Lasso Regression_BS,0.9816,0.6839,0.7767,0.9708,0.8672,0.8025,30024,14945,44969,0.8412,771.179,0.692,0.000015
LSVM_LassoReg._FS,Linear SVM_Lasso Regression_FS,0.9884,0.9982,0.9991,0.9765,0.9937,0.9872,30024,14945,44969,0.9916,632.753,0.534,0.000012
LSVM_LassoReg._CC,Linear SVM_Lasso Regression_CC,0.8806,0.7189,0.8504,0.7684,0.8653,0.7428,30024,14945,44969,0.8232,433.099,0.441,0.00001
LSVM_LinearReg._IC,Linear SVM_Linear Regression_IP,0.9968,0.5969,0.6653,0.9957,0.798,0.7463,30024,14945,44969,0.7751,1021.717,0.524,0.000012
LSVM_LinearReg._BS,Linear SVM_Linear Regression_BS,1,0.3666,0.1398,1,0.2453,0.5365,30024,14945,44969,0.4257,765.89,0.68,0.000015
LSVM_LinearReg._FS,Linear SVM_Linear Regression_FS,0.9912,0.987,0.9935,0.9823,0.9924,0.9846,30024,14945,44969,0.9898,648.684,0.524,0.000012
LSVM_LinearReg._CC,Linear SVM_Linear Regression_CC,0.8806,0.7189,0.8504,0.7684,0.8653,0.7428,30024,14945,44969,0.8232,446.16,0.495,0.000011
LSVM_RidgeReg._IC,Linear SVM_Ridge Regression_IP,0.7203,0.9967,0.9996,0.2203,0.8373,0.3608,30024,14945,44969,0.7406,315.33,0.531,0.000012
LSVM_RidgeReg._BS,Linear SVM_Ridge Regression_BS,0.9971,0.9369,0.9667,0.9943,0.9817,0.9648,30024,14945,44969,0.9759,673.302,0.505,0.000011
LSVM_RidgeReg._FS,Linear SVM_Ridge Regression_FS,0.9912,0.987,0.9935,0.9823,0.9924,0.9846,30024,14945,44969,0.9898,536.296,0.571,0.000013
LSVM_RidgeReg._CC,Linear SVM_Ridge Regression_CC,0.8806,0.7189,0.8504,0.7684,0.8653,0.7428,30024,14945,44969,0.8232,618.943,0.445,0.00001
LSVM_LogisticReg.IC,Linear SVM_Logistic Regression_IP,0.7548,0.5191,0.7708,0.497,0.7627,0.5078,30024,14945,44969,0.6798,915.794,0.576,0.000013
LSVM_LogisticReg.BS,Linear SVM_Logistic Regression_BS,0.9928,0.9557,0.9773,0.9857,0.9849,0.9705,30024,14945,44969,0.9801,344.066,0.7,0.000016
LSVM_LogisticReg.FS,Linear SVM_Logistic Regression_FS,0.9968,0.7233,0.8106,0.9947,0.8941,0.8375,30024,14945,44969,0.8718,591.231,0.568,0.000013
LSVM_LogisticReg.CC,Linear SVM_Logistic Regression_CC,0.8806,0.7189,0.8504,0.7684,0.8653,0.7428,30024,14945,44969,0.8232,325.032,0.443,0.00001
SGDC_FF,SGDC_FF,0.6732,0.9275,0.999,0.0257,0.8044,0.05,30024,14945,44969,0.6755,2097.278,3.413,0.000076
SGDC_LassoReg._IC,SGDC_Lasso Regression_IP,0.9187,0.9985,0.9994,0.8222,0.9573,0.9018,30024,14945,44969,0.9405,275.876,0.468,0.00001
SGDC_LassoReg._BS,SGDC_Lasso Regression_BS,0.6828,0.963,0.9987,0.068,0.8111,0.127,30024,14945,44969,0.6894,390.223,0.779,0.000017
SGDC_LassoReg._FS,SGDC_Lasso Regression_FS,0.8974,0.9993,0.9997,0.7704,0.9458,0.8701,30024,14945,44969,0.9235,784.99,0.927,0.000021
SGDC_LassoReg._CC,SGDC_Lasso Regression_CC,0.8886,0.7501,0.8705,0.7808,0.8795,0.7651,30024,14945,44969,0.8407,119.169,0.387,0.000009
SGDC_LinearReg._IC,SGDC_Linear Regression_IP,0.9972,0.6786,0.7653,0.9957,0.866,0.8071,30024,14945,44969,0.8418,447.796,0.543,0.000012
SGDC_LinearReg._BS,SGDC_Linear Regression_BS,0.6823,0.9628,0.9987,0.0658,0.8108,0.1233,30024,14945,44969,0.6887,291.873,0.517,0.000011
SGDC_LinearReg._FS,SGDC_Linear Regression_FS,0.8511,1,1,0.6485,0.9196,0.7868,30024,14945,44969,0.8832,1131.677,0.527,0.000012
SGDC_LinearReg._CC,SGDC_Linear Regression_CC,0.8886,0.7501,0.8705,0.7808,0.8795,0.7651,30024,14945,44969,0.8407,118.66,5.671,0.000126
SGDC_RidgeReg._IC,SGDC_Ridge Regression_IP,0.7213,0.9988,0.9999,0.224,0.8381,0.3659,30024,14945,44969,0.742,44.981,2.682,0.00006
SGDC_RidgeReg._BS,SGDC_Ridge Regression_BS,0.7496,0.9819,0.997,0.331,0.8558,0.4951,30024,14945,44969,0.7756,359.914,0.69,0.000015
SGDC_RidgeReg._FS,SGDC_Ridge Regression_FS,0.8511,1,1,0.6485,0.9196,0.7868,30024,14945,44969,0.8832,1007.141,0.57,0.000013
SGDC_RidgeReg._CC,SGDC_Ridge Regression_CC,0.8886,0.7501,0.8705,0.7808,0.8795,0.7651,30024,14945,44969,0.8407,124.436,0.604,0.000013
SGDC_LogisticReg.IC,SGDC_Logistic Regression_IP,0.8094,0.5769,0.7675,0.6369,0.7879,0.6054,30024,14945,44969,0.7241,386.886,0.532,0.000012
SGDC_LogisticReg.BS,SGDC_Logistic Regression_BS,0.818,1,1,0.553,0.8999,0.7121,30024,14945,44969,0.8514,352.665,0.534,0.000012
SGDC_LogisticReg.FS,SGDC_Logistic Regression_FS,0.9998,0.9993,0.9997,0.9995,0.9997,0.9994,30024,14945,44969,0.9996,127.35,0.636,0.000014
SGDC_LogisticReg.CC,SGDC_Logistic Regression_CC,0.8886,0.7501,0.8705,0.7808,0.8795,0.7651,30024,14945,44969,0.8407,122.182,0.462,0.00001
