MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
CSVM_LK_FF,C-SVM with linear kernel_FF,0.3333,0.4785,0.0001,0.9997,0.0003,0.6472,28666,26304,54970,0.4784,706.974,433.504,0.007886
CSVM_LK_LassoReg._IC,C-SVM with linear kernel_Lasso Regression_IP,0.6414,0.7466,0.8499,0.4821,0.731,0.5859,28666,26304,54970,0.6739,290.177,237.257,0.004316
CSVM_LK_LassoReg._BS,C-SVM with linear kernel_Lasso Regression_BS,0.7703,0.4773,0.0027,0.9991,0.0054,0.646,21022,19160,40182,0.4778,346.795,181.443,0.004516
CSVM_LK_LassoReg._FS,C-SVM with linear kernel_Lasso Regression_FS,0.129,0.4783,0.0001,0.999,0.0003,0.6469,28666,26304,54970,0.4781,312.736,248.728,0.004525
CSVM_LK_LassoReg._CC,C-SVM with linear kernel_Lasso Regression_CC,0.6912,0.8827,0.9335,0.5454,0.7942,0.6742,28666,26304,54970,0.7478,311.174,259.546,0.004722
CSVM_LK_LinearReg._IC,C-SVM with linear kernel_Linear Regression_IP,0.6914,0.9803,0.9904,0.5181,0.8143,0.6779,28666,26304,54970,0.7644,333.538,276.718,0.005034
CSVM_LK_LinearReg._BS,C-SVM with linear kernel_Linear Regression_BS,0.8652,0.5973,0.4308,0.9264,0.5752,0.7263,21022,19160,40182,0.6671,344.794,191.035,0.004754
CSVM_LK_LinearReg._FS,C-SVM with linear kernel_Linear Regression_FS,0.9026,0.7846,0.7709,0.9094,0.8316,0.8424,28666,26304,54970,0.8372,312.291,259.821,0.004727
CSVM_LK_LinearReg._CC,C-SVM with linear kernel_Linear Regression_CC,0.6912,0.8827,0.9335,0.5454,0.7942,0.6742,28666,26304,54970,0.7478,305.597,253.368,0.004609
CSVM_LK_RidgeReg._IC,C-SVM with linear kernel_Ridge Regression_IP,0.6914,0.9803,0.9904,0.5181,0.8143,0.6779,28666,26304,54970,0.7644,334.914,267.868,0.004873
